PostDate,PostText,PostLikes,PostComments,PostShares,PostImages,PostArticles
"tdesoonSrp2lua1,162ba3e 06rhyla28F0r40 hmcim9","Throughout history, after a global crisis comes a new era of thinking. #FjordTrends shows how 2021 will map new territory: https://accntu.re/2YwN5tZ #FjordTrends","accenture.comFjord Trends 2021 | Emerging Trends in Business | AccentureAccenture's Fjord Trends 2021 provides insights into emerging trends in business, technology & design focused on meeting human needs. Read more.",11 Comments,12 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fprod2-sprcdn-assets.sprinklr.com%2F50493%2F75ff8ce2-2122-4865-bae7-5dce805d5f03-1970616473%2FFjord_Trends-1200x628-Image_7.png&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQFFvlvNuWYapB96,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F2YwN5tZ%3Ffbclid%3DIwAR2CF74V-ZHKh01P5U3r15aAua7sZxMKb7JKdYWiBc1BQHk3xgnBC5AOvjU&h=AT0FqokCJAOwvFZ4CMPpC8DaXqcIQy0gJVt3nanGnMmgKFmHDBvH20_gx1XDvnTwQBTbunPF0xYn6pboicOquZxDz783pAvOYPmn0s7USoNLktXPAZP5sn9DWrE5Tru8URNs&__tn__=H-R&c[0]=AT0-QRy1Y1rFM_vAPo_1bjZRXF71Pu30L7UwUboILASeBREqGLSYqeSgF70PfsBDwZS-qKa3Z7wMzX7F3ETS_zw9H2wLaN0uy7Qt9v1kG6EoLW-3N51M6WTUkoE8EKWuXb9v4JqipgluQFdwxFtWovwTvNNBbwHsuw9OE0Hj67oENR3Z
"tdesoonSrp1lua1,162ba3e 06rhyla28F0r40 hmcim9","Today, we celebrate our newest Managing Directors and say thank you for your incredible leadership, compassion, collaboration and innovation. Congratulations! #MDDay",455,8 Comments,4 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/145648665_10164727732695374_2226769097785483140_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Pye6I2YZuWQAX_Z6XfF&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9aY67Gp42xsbVhgBS5X_OsWElLF0dVWW2kTpCUgEMazw&oe=628FC42C,none
"tdesoonSrp2laa1,162nr3a206yh la28J0u40 hmcim9",Collective displacement. Interaction wanderlust. Do it yourself innovation. And more. Discover the 7 trends that will shape 2021—and the future: https://accntu.re/364VclJ #FjordTrend,128,8 Comments,16 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/141813424_10164662729480374_4693245245591778895_n.png?stp=dst-png_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=XKL5PnDEPjkAX9qp4Im&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-6TTKxHdU-CIpKo6OTxFqDH00qyjwQrsR9qUY_HSkbPQ&oe=628E0C2F,none
"JspoonedrStm,m 3u080rl81n51a 0421a0lu1c1i3f2yf","#CES2021 is in full swing and Robin Murdoch of Accenture breaks down the tech themes taking center stage at this year’s all-digital conference, including #5G an… See more","investors.comTech Themes Taking Center Stage In 2021 | Investor's Business DailyAccenture's Robin Murdoch breaks down the tech themes taking center stage at this year's all-digital CES conference, including 5G and health tech.",10 Comments,4 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.investors.com%2Fwp-content%2Fuploads%2F2021%2F01%2FIS_S3_E1_Segment-3.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQGSjceuEE6rtXXX,https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F38DIa0g%3Ffbclid%3DIwAR1n24JEGhT_rC1f_kRP7T1PvrDJXmTYhAVX4B2z-dsdQqjbWeAJJHTab8g&h=AT1xu8S4vgpbjusH4QWDlXRtzd_MmaHF4xmh0DlMKgjbn2PGR8WbELHN6Dy0sHPeFGsle4rsnjfBOSaugaqCj69bnesOBGRPrjMv41O9-NEXAPx60N5xtyocTHFGo8EAMNJb&__tn__=H-y-R&c[0]=AT39Tc_yyCuvtqGvl_fuEhwspEUAfwOCzTGKmKDwDPfHN1pBDOjgsTjo8dH8orHGB7dlnYWSAn9FPf4fTRki90dYeDhrsxjx0z2xkW2tKmgwW2tU9y11YfCdjK6f1Kx1cLDntaFjti63fu_0NSUI4b5wWQuree6wBeV4CMF3dZFKxZKX2xyccZUc3wDMMtLVKaqxx7Qz
"sSnotedpro0r203f1l1uly4 nJf ,u0a42ul251al0f",Come help us make incredible experiences for people everywhere. https://accntu.re/3h7xN7v,,23 Comments,20 Shares,none,none
"neoodtrSps ,056ml3ce1u52e9l1m2ur0Dbg891ff0 e563",2021 is almost here—are you ready?  Don't miss our new #FjordTrends 2021 report on the trends that will shape the next year: https://accntu.re/2KKT8ru,235,24 Comments,11 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/134387948_10164572172450374_6302671163170449610_n.png?stp=dst-png_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=WJqeTr2_nmUAX_4L5Sw&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-xuec1BNHDiNTc9VbrpiRHwF716NBXmraAEwqu6j8Pdg&oe=628FFF0E,none
"DotSeposndr,0ua22e6a3gh402ugu39e4f1m0ct8ebc ir7 ", Happy holidays from all of us at Accenture!,1.7K,28 Comments,104 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/132916465_10164544865385374_8825688500820387839_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=wxumBy4UmYsAX_tMgi2&_nc_oc=AQm5PXMGorZfmxFDF9e1DyPbsJSxGu-huzwq4OOz7Dv7OpK2rLUqkPUSSWs6XE7zAVo&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8wuKuprwsduE0NIHIMZRdY5lmlWYqThVAwJQiRkkLbhw&oe=628E4C71,none
"DotSeposndr,0ua22e6a3gh302ugu39e4f1m0ct8ebc ir7 ",Everything we do is thanks to every one of our incredible people.  Come join us: https://accntu.re/3mzQ4vz,,3 Comments,27 Shares,none,none
"DotSeposndr,0ua22e6a3gh102ugu39e4f1m0ct8ebc ir7 ",See how we create extraordinary experiences for people everywhere. https://accntu.re/34x2Wwj,,4 Comments,14 Shares,none,none
"DrtspeoondSm2ac62ice,1fb0r020l40145 m 7ememf8gm4","Change is all around us. Whether it's seismic or small, we can make it work for you and your business: https://accntu.re/2KCkwrj",,19 Shares,none,none,none
"DrstenSdoop2c 0fe 06leh5i0ef0rm0c21im3hlb915,t",See how we create extraordinary experiences for the people who matter most to your company. https://accntu.re/37QC8HV,,15 Shares,none,none,none
"DrstenSdoop2c 0fe 06leh5i0ef0rm0c21im3hlb215,t","She is influential, inspirational and a visionary leader. Congratulations to our CEO Julie Sweet for being recognized on Fortune Magazine’s Businessperson of the Year list. https://accntu.re/36wKqWd",,33 Comments,73 Shares,none,none
"ertoonSdsp02il,eam0c12g gleemg11lbD0r mut30ia","Congratulations to our 605 new managing directors and our 63 senior managing directors. Thank you for the tremendous impact you make every day for our people, clients, shareholders, partners and communities. Today we celebrate you. https://accntu.re/2KX1bl4",585,21 Comments,17 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/129162543_10164453728615374_3439429109850328262_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Wjl3-VRbZDoAX8w1qLp&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8aMgVXWIs8XRVoBXyZpWQ8PxWCYVCkTKUKveL-iGGyag&oe=628D09AF,none
"ertoonSdsp02il,eam0c12g gleemg11lbD0r mut30ia",Our latest research found that companies that reimagine their entire business through the lens of experience can achieve stronger growth than their industry peers. Discover what it takes to become a #BusinessOfExperience: https://accntu.re/2JsyETB,140,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/129090819_10164452413790374_6308554960207647578_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=aLm-bEUIobAAX83y_sI&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9nLUZ4B1mrtikS7V23f16ASkBd8ILjpLZFllFRaqVDrg&oe=6290591C,none
"teornodSspgo0v2 h 210N0l,2br45tuem280m82iea3m0a",Move to the cloud  with the people who know how and watch new life come to your business: https://accntu.re/3pGWFHn,,10 Comments,23 Shares,none,none
"roSdtpoesnc29gle2 50Nhhg01r582,oe0b 965h7m1v6m0",We’re embedding sustainability and responsible business practices into everything we do—including empowering the innovators of tomorrow. Find out more: https://accntu.re/2IV44lu,,8 Comments,9 Shares,none,none
"roSdtpoesnc28gle2 50Nhhg01r582,oe0b 965h7m1v6m0","We worked with NHS Digital to rapidly implement a communications platform connecting 1.2 million workers across 16,000 NHS organizations—here’s how: https://accntu.re/3fbaSat",accenture.comCOVID-19: Client Stories: NHS | Accenture​NHS Digital and Accenture joined forces to rapidly implement Microsoft Teams nationwide within seven days.,2 Comments,7 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20200812T191209Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F60%2FAccenture-Social-Metadata-Pannel-Covid-NHS-1200x400.jpg&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQE_SzGTTKIEfNYl,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3fbaSat%3Ffbclid%3DIwAR0UmxUPdjH5x4N9bCbShplMQiCkrNuq-eAgdpNUAliNQglZleqVD74R7Lk&h=AT3ikdTSZ0_JGYED99Xzp6arKwq6b9B2RKAXE_VnYXsW0e3JlV3DPELyBjPn2jGImaRtRls4e175cfPTUdJ-Eg3AbN6nr43h5ThMhkVx8hyL5b81gDrhHOQj-yZaqMaOcndZ&__tn__=H-R&c[0]=AT181xLzdPXs7fqS65JnSEW8oJux8a7LF0hRM9vhh_2zge0wwyLZ12K3T1j3NP4wogsF2-nhqyJublUDzGpj3ZUc5ObyKsk21HNwXf0D0ek91nguEbF10St_ImLyMQ4AWnZv9kuMLV673C925yw1M7PCZQMA-LBr7StIonkWdcsekFSD
"roSdtpoesnc27gle2 50Nhhg01r582,oe0b 965h7m1v6m0","Our 500,000+ people around the world helped celebrate our new brand by making it personal—and we couldn’t resist sharing a few! 👱🏼‍♀‍👨🏽‍🦲🧑🏻‍👩🏽‍🦱 #OneAccenture https://accntu.re/38KwGbT",,7 Comments,19 Shares,none,none
"nreopdStosct129u u0t2hbm4700mm702g9Oorfut6e, ",none,1.6K,175 Comments,19 Shares,none,none
"nreopdStosct129u u0t2hbm4700mm702g8Oorfut6e, ","Our 500,000+ people around the world helped celebrate our new brand by making it personal—and we couldn’t resist sharing a few! 👱🏼‍♀‍👨🏽‍🦲🧑🏻‍👩🏽‍🦱 #OneAccenture https://accntu.re/34AtexQ",,8 Comments,16 Shares,none,none
"nreopdStosct129u u0t2hbm4700mm702g6Oorfut6e, ",Caring for people while accelerating business performance and influencing positive societal change—this is Modern HR: https://accntu.re/3julQIN #IntoTheNew,179,13 Comments,29 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/122820687_10164306459240374_206569537699970335_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=OxVR0w8ocjAAX_6qxrM&_nc_oc=AQngu16nGBm7F4OV5FEmzglRbmTiVIn30jYSTO-2YHjzmnJfH7NEObSNEV5-dz8iB-g&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_zNB62udSyHHOCQF1RAA2LCvOiA2KScRbLczI6WbqrRg&oe=6290E6CD,none
"OorsodpSten0u5l224f3l71r2h,c06e gb5thmoc03 563", Cloud systems designed with your business and the planet in mind. See what's possible: https://accntu.re/3dQxRa5,,9 Shares,none,none,none
"OorsodpSten0u5l224f2l71r2h,c06e gb5thmoc03 563",We connected small business owners with financial advisors in Detroit with a pandemic volunteer exchange program. Read more about our work with communities during #COVID19: https://accntu.re/3daJ5Ge,140,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/122461403_10164289779405374_6283852186577024469_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-5&_nc_sid=9267fe&_nc_ohc=WeWMUuzHz-YAX_y-Uul&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-q_Jm8-nHSdwfdBIdtvO-52ZYoeylT-mxdXU4AdaSBaw&oe=628EE06F,none
"OorsodpSten0u5l224f1l71r2h,c06e gb5thmoc03 563",We harness technology and human ingenuity to help make change work for you: https://accntu.re/3j79cPA,,2 Comments,20 Shares,none,none
"rnpedsooStftcrbma98020aO2 1cmoa058t2ml6h0e 2,","Wherever your business goes, you need cybersecurity that covers it all. See how we can help: https://accntu.re/375QYLV",,4 Comments,5 Shares,none,none
"rnpedsooStftcrbma98910aO2 1cmoa058t2ml6h0e 2,","Hailed for her vision, influence and steady leadership through uncertain times, we’re so proud that our CEO Julie Sweet has been recognized as #1 on the Fortune's #MostPowerfulWomen in Business list. Congrats, Julie! https://accntu.re/2TluyP3",,41 Comments,252 Shares,none,none
"rnpedsooStftcrbma98610aO2 1cmoa058t2ml6h0e 2,",Move to the cloud  with the people who know how and watch new life come to your business: https://accntu.re/3jYIj1x,,6 Comments,18 Shares,none,none
"OdntosrSopei0 c89tut0ou6120bc0g,21i 219gf5r0e7",Everything we do is thanks to every one of our incredible people.  Come join us: https://accntu.re/2GZwSbN,,5 Comments,55 Shares,none,none
"OdntosrSopei0 c89tut0ou6120bc0g,21i 219gf4r0e7","Change is all around us. Whether it's seismic or small, we can make it work for you and your business: https://accntu.re/33W3602",,1 Comment,73 Shares,none,none
"OoodSprtsen0rcabo9tu7 t12f t22i6011e30h60g,4","Fundaula, our e-learning platform, is helping users develop important skills for the current job market. See how we've been working with communities during the pandemic: https://accntu.re/2F5Ayb3",131,10 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/120926693_10164227639875374_2889266768039549630_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=wb3JTaRiaacAX-NOFXr&_nc_oc=AQmRVNV5crY3NanlHW4tY2Kleh1-2jitThXkuFW19uLMteCuoZnNwst4GXTGfci4sV0&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9G8crm8qftsQ-oOZuRJs10TWFzEfqiPlIMsKRsvKToUw&oe=628F2481,none
"dpnstoorSeroOt50c1i39e u2am,b78m01g0h 05h32",Our new research with Girls Who Code identified the cultural factors that help women thrive in the tech workplace. Here are 5 things to do now: https://accntu.re/3jbm5Jn,213,6 Comments,30 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/120489341_10164209999500374_870926483525323332_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Avla9UbqYTsAX98jGzd&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_MDuNNnbgwWLQFjzyySCq4_OJ7CTMYU1iP5eN7UUrOGw&oe=628EECEB,none
"reposSontdegpt5cSaf3h,52510  eme27l0g39tib0a9u2r1",Women need inclusive cultures to thrive in tech. Read more in our research with Girls Who Code: https://accntu.re/3kVx1eE,,6 Comments,18 Shares,none,none
"reposSontdegpt5cSaf3h,52510  eme27l0g33tib0a9u2r1","Even in uncertain times, companies that work to take care of their people and leave them better off boost business performance: https://accntu.re/3cqTvAZ #IntoTheNew",163,14 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/120079790_10164177378965374_614173763621934095_n.jpg?stp=dst-jpg_p180x540&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=7Ftw2CgdFR8AX_Mxokp&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8hW36uuRfd_7yJPXLfs4kJrKulMPMbgREKZfA_ixB2AQ&oe=628D2693,none
"sprdoeSton03tbt12mu22apS3 f48 1ce01ge2eir53ug90,1","We have nearly 100,000 cloud professionals who understand what makes your business tick. https://accntu.re/34XidHK",,16 Shares,none,none,none
"nSooprsedtftf0112,2Agct26t1 u8u10f304 g82sf","As #COVID19 brings new challenges, we are collaborating with our partners and communities to respond, recover and rebuild: https://accntu.re/2CSUfBI","accenture.comAccenture’s societal response to COVID-19We are helping our clients, partners and communities around the world meet the challenges of COVID-19.",11 Comments,16 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20200812T113101Z__w__%2Fin-en%2F_acnmedia%2FThought-Leadership-Assets%2FImages%2Fsocietal-response-covid-19%2FAccenture-featured-image-1200x628.jpg&cfs=1&sx=0&sy=1&sw=1200&sh=626&ext=jpg&_nc_oe=6fff2&_nc_sid=632586&_nc_o2e=1&ccb=3-6&_nc_hash=AQF77D_TPHJfvZt2,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F2CSUfBI%3Ffbclid%3DIwAR0nS11xXe7cXNIkzGWA2szbo8tW4oYUDSTB20x1d5lAoYNUJXKw2Cw1mZo&h=AT1Bw9dbZPKuD4Qapw0d6KhrVZ0JLmbTuyWh8-qbFfRIjhVoSrDMCDEKvsV_fxwXNVxmWIGHAO_iL7xbiQpK6p3MXJjQrp_8o58Jt_HMAHRYWIwBWOtp_4h_btu2Y81uqwj3&__tn__=H-R&c[0]=AT1aZKho4zTz5uoktOjg7pMBI7SFk_9yFV7fWpuaszWu65Jvt606JQyoScgTJpQInjQJchu4J68lEyFBJK4jew_j-FkT6C3fW6M9oxQZqRqb0HmqVbbM90lH5SM6iM3erb72aWjtrqL8nS82Qs7Z2gqF5JsGUHVZ3tPWJMEXpVMk80Y5
"nSooprsedtftf0112,2Agct16t1 u8u10f304 g82sf","New definitions of value. Evolving business models. As the world unexpectedly changes, many #FjordTrends 2020 predictions have quickly moved front-and-center: https://accntu.re/2BG7GVe",115,14 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/117841367_10164031015680374_6833727318983371502_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=TZdffnwiYsIAX_kLuHz&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8nEWouniVKx6x5qqd8ivDkDvV72Bz_y7rcN9s_5F3jyw&oe=628D6CE7,none
"drnstooSpeAig92g um6,2sg810tt130f20 5u2833m","From building ventilators to analyzing travel patterns, our clients have been at the front of the #COVID19 global response. Read more about our work on countering the pandemic together: https://accntu.re/2XRxZPQ",accenture.comCOVID-19: Client Stories | AccentureHow we are helping our clients make a difference and respond to the business landscape during and post-COVID-19.,11 Comments,15 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20200717T202255Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2FRedesign-Assets%2FDotCom%2FImages%2FGlobal%2FGeneral%2F58%2FAccenture-Social-Meta-Image-Covid-Stories-1200x628.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQF1KSIJ4EYJQLZP,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F2XRxZPQ%3Ffbclid%3DIwAR3GVkUew-nd4JS8M2fBZR65CzJMIuB2ZJp0-WUYGVUlc_ZgdwcC-W9Jsds&h=AT2isNWQtKfR9_wzc4bvwi3WcTe9Rj3tH3Z_MfJ5lQTXF6M03ndcRqP-aEJQh9-SColBqzhfTKxdtaQSRFyamQqjOFq4cwuJeB32VrRRoP3P4g7LjCZjNIAnf5GKOFU-uqlT&__tn__=H-R&c[0]=AT1qUYfXjlPAjD9qe9qKDps7zmD4RFgu_6NzcopAQ_uv6e8KHTtwWOMMPN-35fxu-xpxGCVST83uG2uyMGws0LZXNTUx11hbRl0npfkJw46mlYaf70_xwq9-g2mcnH26P2U1IkhNyw-ub6ztlWPouGErLAlXpAxe-DAlIzHnajV4VJ-g
"drnstooSpeAig92g um6,2sg810tt100f20 5u2833m","We have the industry expertise to know what makes your business tick, so when our experts take you deeper into the cloud, you won’t miss a beat. https://accntu.re/3acFAxk",,12 Shares,none,none,none
"AodtoSrspen872u c50099gm252t0811s0u6 8,g6fm",A big focus for us? Cloud. Check out our latest thinking on how to adopt cloud faster and better: https://accntu.re/3keWKPQ,211,12 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/117266742_10163979815260374_6326557551024541890_n.png?stp=dst-png_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=gCJLT8HHkAIAX9eoHG9&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8da3yE8ZnHrrw7hIQu0gCbi8UybGBT7BGS8Z3kPQpn1g&oe=628FABD8,none
"rdneSspoot0 c4tA1msu0407,05gul973h0a 22u07",Customers' experiences are radically changing—and so are their expectations. Here's how companies can evolve with them: https://accntu.re/3fagGQX #FjordTrends,106,10 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/117343443_10163971757640374_7520450204513695610_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=G2_PUL3NxZgAX_Ceb4U&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-HAd_SmrUJsPV_4QZwh2CTTxjJYUgTK0lXYBiDu8-X_g&oe=628F0487,none
"rdneSspoot07c,2J1m u0407 25lul973h0a20iy07","How can businesses and organizations tackle new, complex problems with the help of #AI-driven tools? Read on to find out: https://accntu.re/2Z8mfcL",,4 Comments,12 Shares,none,none
"rdneSspoot04c,2J1m u0407 25lul973h0a20iy07","Ready, reset, reinvent. As the global landscape quickly changes, a flexible mindset is more important than ever. More in #FjordTrends: https://accntu.re/2VWKadt",161,12 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/116050641_10163919831360374_58121489435914737_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=h5wvEud3KjwAX9qGOm1&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9IxqO3VNe42Y7iNvCPhyzHziLIW9kcQ1RGsAsouX8nhA&oe=628D7164,none
"rdSnpoestomuhy000ff 83atlliJ02ui2g,3f82 21","71% of LGBT+ employees say that ""seeing people like me"" in senior leadership positions is important to helping them thrive. Find out more in our latest report: https://accntu.re/2VmhPwL",,6 Comments,11 Shares,none,none
"rdSnpoestomuhy000ff 83atlliJ02ui1g,3f82 51",Customers and employees expect organizations to respond to global challenges in a meaningful way. #FjordTrends looks at how to redefine growth: https://accntu.re/2C6PrrQ,,5 Comments,10 Shares,none,none
"rdSnpoestomuhy000ff 83atlliJ02ui5g,3f82 81",Find out what a true culture of equality looks like in our latest #GettingToEqual report: https://accntu.re/3eAuR17 #PrideAtAccenture,,7 Comments,11 Shares,none,none
"tnroeospdS9y26u2u08f9J2ta0gg0t718539 lif ,","Whether it’s Prince, the X-Men or a rugby teammate, drawing inspiration from the courage of others can be an important part of the coming out journey. Our LGBTI community shared some of their stories: https://accntu.re/3iCktbw #Pride2020 #PrideAtAccenture",301,11 Comments,12 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/106631499_10163838014335374_5333202697791471960_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=EpFleu7C-zoAX-wx7xP&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8y0DBPXpyn_dg0hKHEamEJfSe-TBChaeZ3McOhvFXlQg&oe=6290A308,none
"tnroeospdS9e 2u2u28f9J0ta0gg0t712539 nif,5",Only 77 out of 195 countries prohibit discrimination because of sexual orientation. Increasing openness and inclusivity is not only the right thing to do—it increases innovation: https://accntu.re/2YwAF6a,476,16 Comments,39 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/105610694_10163776237265374_1654316246687145727_n.png?stp=dst-png_p526x296&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=FhK8if7wZPwAX8iAaGu&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-668fGyMte-1Tk0b4TTs7WOkGB6idmOUHN_aal4AAr4g&oe=628E096C,none
"tnroeospdS9e 1u2u28f9J0ta0gg0t712539 nif,6","This year’s Pride Season is about celebrating our LGBTI community—but also championing equality for all. Together, we are stronger. Together, we will make change.",874,25 Comments,69 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/104414418_10163730450700374_1825020303819263348_n.png?stp=dst-png_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=oHl48zSJ95UAX9fNWqI&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8x8IbWOVYKgr14Y88uKKYRuof6r_2732Q4eaA__VlrWg&oe=628EC530,none
"enodSorptsuc712n00504m0ach96 e072h,5252 hJ","There’s a time when words alone are not enough, and that time is now. Today, we're sharing some actions we’re taking to fight racism inside and outside of Accenture, to create more opportunities for our communities of color and to take a stronger leadership role in our communities. Our commitment starts with our deeply held belief in equality and in the power of diversity for innovation and our business, and in our responsibility as a company to lead and contribute in our com… See more","linkedin.comOur commitment to actionBelow is a note I sent to Accenture people in the United States earlier today and also shared globally about actions we will be taking in the US to fight racism inside and outside of Accenture, create more opportunities for employment and advancement for our communities of color, and help us become",44 Comments,285 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fmedia-exp1.licdn.com%2Fdms%2Fimage%2FC4E12AQFc_IzgFh0RFw%2Farticle-cover_image-shrink_600_2000%2F0%3Fe%3D1596672000%26v%3Dbeta%26t%3DeheEdkm3qDapNK3wNe4F3fvUtUPuVknR-azOENKVP-0&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHPzqo9s5es6R2z,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F2XZ5PSl%3Ffbclid%3DIwAR3GVkUew-nd4JS8M2fBZR65CzJMIuB2ZJp0-WUYGVUlc_ZgdwcC-W9Jsds&h=AT1gMneQYJ22JqLpw9txWBXEbVUQ-f6dlQ6KFZB72SfityL83HNIkZIHZLJclBoVAszWkokApUACMAGKSLuwtoKapoapcMZQPcOx6ZPLPmNWN8biyaOuGnPDP640vrgGRi0E&__tn__=H-R&c[0]=AT0zz9sZHGDl6CJXsTuGqFP991KPEYsuVc2U7Tcs1rWNfuvtZ_GuSbpnyc4N16nGCLEaSpAuOzXdqI60l_86qmO1SRV0FwefWEI1RQVLFiMaefwS-K5HZJSRFQR9nN2uJg3QrxnSuLc6bd0jAd-81buhTfigfKlJNo7_vWBHgNRpEkV5
